Year,Period,labor force,employment,unemployment,unemployment rate
2020,Aug,75625(T),71305(T),4320(T),5.7(T)
2020,Sep,76591(T),72164(T),4427(T),5.8(T)
2020,Oct,77392(T),73154(T),4238(T),5.5(T)
2020,Nov,76920(T),72367(T),4553(T),5.9(T)
2020,Dec,76363(T),71446(T),4917(T),6.4(T)
2021,Jan,77106(T),71446(T),5660(T),7.3(T)
2021,Feb,77685(T),72296(T),5389(T),6.9(T)
2021,Mar,78551(T),73287(T),5264(T),6.7(T)
2021,Apr,78728(T),73846(T),4882(T),6.2(T)
2021,May,78480(T),73868(T),4612(T),5.9(T)
2021,Jun,78734(T),73472(T),5262(T),6.7(T)
2021,Jul,78697(T),73854(T),4843(T),6.2(T)
2021,Aug,79028(T),74647(T),4381(T),5.5(T)
2021,Sep,79639(T),75794(T),3845(T),4.8(T)
2021,Oct,79338(T),75580(T),3758(T),4.7(T)
2021,Nov,78615(T),75251(T),3364(T),4.3(T)
2021,Dec,78171(T),74862(T),3309(T),4.2(T)
2022,Jan,77380(T),73545(T),3835(T),5.0(T)
2022,Feb,78185(T),74645(T),3540(T),4.5(T)
2022,Mar,78330(T),75369(T),2961(T),3.8(T)
2022,Apr,77943(T),75510(T),2433(T),3.1(T)
2022,May,78346(T),76024(T),2322(T),3.0(T)
2022,Jun,77729(T),75102(T),2627(T),3.4(T)
2022,Jul,77710(T),75068(T),2642(T),3.4(T)
2022,Aug,78167(T),75768(T),2399(T),3.1(T)
2022,Sep,78860(T),76643(T),2217(T),2.8(T)
2022,Oct,78612(T),76232(T),2380(T),3.0(T)
2022,Nov,77932(T),75478(T),2454(T),3.1(T)
2022,Dec,77693(T),75321(T),2372(T),3.1(T)
2023,Jan,77462(T),74487(T),2975(T),3.8(T)
2023,Feb,78238(T),75075(T),3163(T),4.0(T)
2023,Mar,77981(T),75292(T),2689(T),3.4(T)
2023,Apr,78165(T),75914(T),2251(T),2.9(T)
2023,May,78592(T),76091(T),2501(T),3.2(T)
2023,Jun,78305(T),75195(T),3110(T),4.0(T)
2023,Jul,78434(T),75511(T),2923(T),3.7(T)
2023,Aug,79103(T),76193(T),2910(T),3.7(T)
2023,Sep,79488(T),76877(T),2611(T),3.3(T)
2023,Oct,79474(T),76777(T),2697(T),3.4(T)
2023,Nov,79503(T),76689(T),2814(T),3.5(T)
2023,Dec,78796(T),75752(T),3044(T),3.9(T)
2024,Jan,78503(T),74840(T),3663(T),4.7(T)
2024,Feb,79230(T),75571(T),3659(T),4.6(T)
2024,Mar,79011(T),75771(T),3240(T),4.1(T)
2024,Apr,79787(T),76782(T),3005(T),3.8(T)
2024,May,79749(T),76580(T),3169(T),4.0(T)
2024,Jun,79501(T),75805(T),3696(T),4.6(T)
2024,Jul,80005(T),76097(T),3908(T),4.9(T)
2024,Aug,80666(T),76964(T),3702(T),4.6(T)
2024,Sep,81238(T),77800(T),3438(T),4.2(T)
2024,Oct,81212(T),77705(T),3507(T),4.3(T)
2024,Nov,80905(T),77087(T),3818(T),4.7(T)
2024,Dec,80541(T),76811(T),3730(T),4.6(T)
2025,Jan,80271,75921,4350,5.4
2025,Feb,80413,75887,4526,5.6
2025,Mar,80275,76276,3999,5
2025,Apr,81061,77189,3872,4.8
2025,May,80649(P),76970(P),3679(P),4.6(P)
